SalesKey,OrderDateKey,ShipDateKey,ProductKey,CustomerKey,EmployeeKey,GeographyKey,Quantity,UnitPrice,Discount,SalesAmount,TotalCost,Profit,Channel,PaymentMethod,OrderPriority
1,20191007,20191008,177,844,21,8,2,243.5,0.0,487.0,398.62,88.38,Retail,Credit Card,High
2,20240518,20240523,86,850,8,40,5,229.76,0.0,1148.8,1024.4,124.4,Online,PayPal,Low
3,20190218,20190223,109,261,39,18,4,191.72,0.05,728.54,403.96,324.58,Retail,Bank Transfer,Low
4,20220602,20220607,2,1021,23,15,1,367.82,0.0,367.82,220.94,146.88,Partner,Cash,Low
5,20240120,20240123,122,911,7,14,3,384.49,0.0,1153.47,824.64,328.83,Online,Bank Transfer,High
6,20200422,20200423,177,1154,30,11,2,243.5,0.15,413.95,398.62,15.33,Phone,Bank Transfer,Low
7,20211231,20220107,142,119,29,23,2,135.75,0.0,271.5,231.6,39.9,Phone,Bank Transfer,High
8,20220710,20220717,193,4,25,17,5,445.25,0.1,2003.62,1109.25,894.37,Retail,Cash,High
9,20180610,20180613,16,1393,3,1,2,226.12,0.0,452.24,368.46,83.78,Retail,Cash,Medium
10,20180912,20180919,143,476,44,23,1,199.08,0.0,199.08,175.59,23.49,Retail,PayPal,High
11,20201229,20201231,184,663,16,14,4,645.06,0.0,2580.24,1154.2,1426.04,Retail,Bank Transfer,Low
12,20240925,20240928,83,272,37,9,4,65.6,0.15,223.04,126.56,96.48,Phone,Cash,Low
13,20230805,20230808,180,558,21,22,3,461.19,0.0,1383.57,847.11,536.46,Phone,Bank Transfer,Medium
14,20180205,20180208,139,1361,47,4,2,418.25,0.0,836.5,481.0,355.5,Online,Cash,Low
15,20230707,20230712,140,89,6,20,6,422.38,0.0,2534.28,1272.48,1261.8,Partner,PayPal,Low
16,20190415,20190418,69,1444,34,17,1,288.14,0.2,230.51,158.04,72.47,Phone,Credit Card,Low
17,20181105,20181106,170,1352,48,38,7,170.23,0.1,1072.45,1014.16,58.29,Phone,Bank Transfer,Medium
18,20230406,20230411,194,827,17,11,3,108.72,0.0,326.16,264.6,61.56,Partner,Credit Card,High
19,20190426,20190501,11,1192,45,9,3,223.43,0.0,670.29,556.5,113.79,Phone,Credit Card,Low
20,20230206,20230209,132,1076,22,3,1,72.28,0.1,65.05,46.32,18.73,Phone,Credit Card,Low
21,20200228,20200301,4,102,18,10,2,47.4,0.15,80.58,44.26,36.32,Retail,Credit Card,Medium
22,20181018,20181021,121,438,1,30,3,667.65,0.05,1902.8,847.32,1055.48,Online,Credit Card,Medium
23,20190306,20190309,72,724,20,14,1,202.37,0.05,192.25,151.69,40.56,Online,Credit Card,Low
24,20190821,20190823,160,647,46,13,3,66.01,0.0,198.03,153.45,44.58,Partner,PayPal,Low
25,20190308,20190313,25,31,21,6,1,205.9,0.0,205.9,166.28,39.62,Phone,Cash,Medium
26,20220407,20220414,32,383,50,28,6,345.72,0.0,2074.32,1496.88,577.44,Phone,Cash,Low
27,20190520,20190521,190,484,34,34,3,323.12,0.2,775.49,735.81,39.68,Retail,Cash,Medium
28,20191104,20191106,125,1372,14,3,3,610.92,0.05,1741.12,867.81,873.31,Phone,PayPal,Medium
29,20220428,20220430,122,339,1,36,2,384.49,0.05,730.53,549.76,180.77,Retail,Bank Transfer,Medium
30,20211203,20211204,25,313,22,4,1,205.9,0.1,185.31,166.28,19.03,Phone,Credit Card,Medium
31,20211126,20211127,64,1337,33,38,6,524.47,0.0,3146.82,1477.86,1668.96,Partner,PayPal,Medium
32,20180210,20180215,144,232,33,13,5,226.43,0.0,1132.15,711.75,420.4,Partner,Cash,Medium
33,20190119,20190120,165,179,9,32,4,165.92,0.0,663.68,515.12,148.56,Partner,Credit Card,Low
34,20210807,20210810,185,1165,17,3,4,72.53,0.1,261.11,251.04,10.07,Partner,PayPal,Medium
35,20221221,20221223,156,1000,1,20,2,156.26,0.0,312.52,269.0,43.52,Retail,Credit Card,High
36,20180702,20180705,175,110,6,7,4,196.76,0.0,787.04,462.04,325.0,Phone,Bank Transfer,Low
37,20230311,20230314,179,890,25,27,6,21.12,0.2,101.38,76.92,24.46,Partner,Bank Transfer,High
38,20201129,20201202,9,299,25,22,2,148.6,0.0,297.2,189.5,107.7,Phone,Bank Transfer,Low
39,20220611,20220616,78,970,28,30,3,379.69,0.1,1025.16,887.31,137.85,Partner,Cash,Low
40,20210801,20210802,11,324,25,25,2,223.43,0.0,446.86,371.0,75.86,Partner,PayPal,Medium
41,20180518,20180520,53,801,48,3,2,351.75,0.1,633.15,545.46,87.69,Partner,Bank Transfer,Low
42,20181201,20181202,45,327,21,10,1,401.77,0.05,381.68,266.73,114.95,Phone,Bank Transfer,Low
43,20180518,20180521,158,1082,25,26,3,455.8,0.0,1367.4,754.83,612.57,Online,Cash,High
44,20220206,20220208,102,1299,12,27,2,116.88,0.15,198.7,105.36,93.34,Retail,Cash,Low
45,20190503,20190508,39,1348,38,29,5,269.44,0.1,1212.48,1162.6,49.88,Online,PayPal,Medium
46,20190730,20190804,100,410,35,30,4,522.86,0.1,1882.3,1066.76,815.54,Partner,Bank Transfer,Medium
47,20220622,20220623,86,535,10,17,3,229.76,0.05,654.82,614.64,40.18,Phone,PayPal,Medium
